Date,SCHD,BLOK,HD,JPM,AVGO,TXN,ABBV,STOR,FCPT,CTRE,O,NSA,NSP,MSM,NTAP,SAFT,COR,DTE,IRM,APAM
2020-09-02,57.428009033203125,25.202150344848633,285.64251708984375,99.99529266357422,368.4822082519531,145.70338439941406,91.6162338256836,27.063087463378906,25.473480224609375,19.58453941345215,62.08436584472656,33.88993835449219,68.81011962890625,64.19258117675781,47.28118133544922,71.88442993164062,120.50570678710938,118.36710357666016,29.25834083557129,38.24034881591797
2020-09-03,56.14289093017578,24.309431076049805,273.14068603515625,99.68050384521484,345.961181640625,139.8116912841797,89.5879135131836,27.15098762512207,25.678834915161133,19.53577423095703,62.76832580566406,33.54692077636719,64.94282531738281,63.156761169433594,45.70022964477539,71.24224853515625,116.92855834960938,117.05038452148438,29.0568904876709,36.60270690917969
2020-09-04,56.24099349975586,23.818925857543945,268.1976318359375,101.83484649658203,356.63214111328125,138.62744140625,89.5879135131836,27.258419036865234,25.365915298461914,18.98958969116211,62.895362854003906,33.47832107543945,63.548221588134766,63.38276290893555,45.5627555847168,71.34104919433594,114.34125518798828,116.74576568603516,28.93218231201172,35.50136947631836
2020-09-08,54.87739181518555,23.240129470825195,267.7998046875,98.29344940185547,344.43817138671875,134.2555389404297,87.97889709472656,27.063087463378906,25.502817153930664,18.60921287536621,62.53383255004883,33.145103454589844,61.9261360168457,60.360050201416016,44.38440704345703,69.43427276611328,113.20441436767578,116.02845001220703,28.874624252319336,34.1031494140625
2020-09-09,55.52485656738281,23.70022201538086,275.5376281738281,99.22798919677734,353.7629699707031,137.84779357910156,89.35387420654297,27.688146591186523,25.82551383972168,18.82378387451172,63.14939880371094,33.664527893066406,61.85689926147461,60.7838020324707,45.72968673706055,69.46390533447266,114.37065887451172,117.63013458251953,28.845844268798828,34.9076042175293
2020-09-10,54.700809478759766,23.377470016479492,271.2211608886719,98.20491790771484,350.8642883300781,135.3904571533203,87.42305755615234,27.600248336791992,25.698392868041992,18.657978057861328,62.2993278503418,33.458717346191406,62.59353256225586,59.437225341796875,43.56938171386719,68.60438537597656,112.22437286376953,115.87123107910156,28.586837768554688,34.28511428833008
2020-09-11,55.08340835571289,23.35784912109375,274.8314514160156,99.42473602294922,353.4387512207031,134.58120727539062,87.47180938720703,26.984956741333008,24.935651779174805,18.238590240478516,61.90849304199219,33.801734924316406,62.62339401245117,59.67264175415039,43.294437408447266,68.9402847290039,113.39061737060547,116.3822021484375,28.606021881103516,35.30025863647461
2020-09-14,55.90745162963867,23.86012840270996,279.1280212402344,100.80194854736328,355.8952331542969,136.71287536621094,88.2421875,27.785812377929688,25.639719009399414,18.6774845123291,63.99946212768555,34.75194549560547,66.02781677246094,61.358211517333984,44.561161041259766,70.115966796875,114.25305938720703,118.28849029541016,28.369932174682617,35.759944915771484
2020-09-15,55.81916046142578,24.18189811706543,284.0312805175781,97.66386413574219,360.5232238769531,138.7952117919922,88.65176391601562,28.811298370361328,25.68861198425293,18.794527053833008,64.30236053466797,34.20755386352539,67.2322998046875,60.491878509521484,44.561161041259766,69.64173889160156,116.1837387084961,116.50011444091797,28.477691650390625,36.54524612426758
2020-09-16,56.17232131958008,24.103416442871094,280.10272216796875,98.07703399658203,360.6509704589844,137.84779357910156,87.5498275756836,28.67456817626953,25.874406814575195,18.51167869567871,63.911529541015625,34.623268127441406,68.80510711669922,61.311126708984375,44.29603576660156,69.0390853881836,118.49663543701172,116.97177124023438,28.722597122192383,37.445472717285156
