Script,Poor Hist YoC,Don't Like,Slow Div Growth,Ave YoC,Slow Perf,Poor Perf,Dividend Cut,Portfolio
EQIX,,,,,,,,
EPD,,,,,,,,
EMR,,,,,,,,
EMN,,,,,,,,
ELS,,,,,,,,
EGP,,,,,,,,
ECL,,,,,,,,
DRE,,,,,,,,
DPZ,,,,,,,,
DOC,,,,,,,,
DGRW,,,,,,,,
DGRO,,,,,,,,
DEO,,,,,,,,
DEA,,,,,,,,
DD,,,,,,,,
D,,,,,,,,
CVS,,,,,,,,
COST,,,,,,,,
CMI,,,,,,,,
CLX,,,,,,,,
CL,,,,,,,,
CHDN,,,,,,,,
CAT,,,,,,,,
CAH,,,,,,,,
BXMT,,,,,,,,
BLK,,,,,,,,
BEP,,,,,,,,
BDX,,,,,,,,
BCE,,,,,,,,
AY,,,,,,,,
AXP,,,,,,,,
AFL,,,,,,,,
AEE,,,,,,,,
ADP,,,,,,,,
ADM,,,,,,,,
ABT,,,,,,,,
IMCG,,,,,,,,
AMD,,,,,,,,
SIVB,,,,,,,,
FB,,,,,,,,
WDAY,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
